,url,email,phone,vk.com,instagram.com,facebook.com,image_source,schedule,title,ok.ru,address,metro_station
0,http://www.tais.biz,top_eng_w@2.png,,,,,http://www.tais.biz/i/shhm_banner.jpg,,"Шоу-балет ТАИС :: Профессиональный шоу балет Москвы. Шоу программы, Новый год, развлекательные программы, свадебные танцы.",,,
0,http://www.gotennis.ru/,,,,,,,,,,,
0,http://www.lifeinhockey.ru/,,,,,,,,,,,
0,http://bit.ly/2GxRXUn,,,,,,,,,,,
0,http://www.rafencing.ru/,wildcardsfencing@mail.ru,8 (965) 584 43 89,,,,http://www.rafencing.ru/images/thumbnails/images/joomgallery/details/__2015_3/photochr2015_3_20160403_1402693610-fill-180x120.jpg,,Главная,,,
0,http://www.studio-risuem.com,,,,,,,,,,,
0,http://ckachat-chess.ru,Rating@Mail.ru,+7 (499) 450-27-79,,,,http://ckachat-chess.ru/wp-content/uploads/2020/04/sistemy-avtopoliva.jpg,,Шахматы,,,
0,http://torpedo-sport.ru,,,,,,,,,,,
0,http://goritsa.ru/   http://www.absgb.ru/,,,,,,,,,,,
0,http://narushaem.net,,,,,,http://narushaem.net/wp-content/uploads/2019/10/epoha.jpg,,"Самые интересные темы, которые заинтересуют каждого!",,,
0,https://ice-hockey-stat.com,Sergsvist@list.ru,,,,,,,Форум хоккейных статистиков им. Виктора Малеванного - Главная страница,,,
0,http://Пока нет.ru,,,,,,,,,,,
0,http://katok.top,info@katok.top,+7-915-107-46-64,https://vk.com/navershiny,https://www.instagram.com/msk_vershina/,https://www.facebook.com/mskvershina, https://sun9-39.userapi.com/c853516/v853516392/16f0f8/wsK9J_anoPU.jpg?ava=1,,СК «Вершина»,,Шипиловский проезд 63,
0,http://движениевверх.рф,,,,,,,,,,,
0,http://www.panterabasket.com,info@panterabasket.com,,,,,,,Баскетбольный клуб Пантера (Москва),,,
0,https://icefusion.ru/,info@icefusion.ru,,https://vk.com/icefusion,https://www.instagram.com/icefusion_/,https://www.facebook.com/IceFusionTrainingCenter,https://icefusion.ru/wp-content/uploads/2018/08/Logo_ice-771x1024.png https://sun9-32.userapi.com/c848416/v848416878/6ff93/veh-FMNEBQk.jpg?ava=1,,Школа фигурного катания и хоккея,,"ул. Кржижановского, 31",Профсоюзная
0,http://www.rugby-tushino.ru,rugby_tushino@mail.ru,8-495-777-77-77,,,,,,ГБУ «СШОР № 103 «Южное Тушино» Москомспорта,,,
0,http://beckyhammon.ru- сайт фанов Бекки        http://yatv.ru/spartakvidnoje/- трансляции матчей,,,,,,,,,,,
0,http://www.rioshow.ru,,,,,,,,,,,
0,http://podmedia.ru,,,,,,,,,,,
0,http://trexgorkachess.com,,,,,,,,,,,
0,http://www.hustle-center.ru/invision/index.php?showtopic=10297,,,,,,,,,,,
0,http://www.basketform.ru,,,,,,,,,,,
0,http://klushki.net,zakaz@klushki.net,+7(495)646-96-11,,,,,,"Хоккейная экипировка bauer, reebok, easton, warrior в Москве. Магазин хоккейной экипировки в Москве - Ваш хоккейный магазин",,,
0,http://www.tennis-moscow.ru/,info@reg.ru,+7 (495) 580-11-11,,,,,,tennis-moscow.ru,,,
0,http://grandboxing.ru/,grand_boxing@mail.ru,+7-985-285-11-55,https://vk.com/drozdboxing,https://www.instagram.com/grand_boxing/?utm_source=ig_profile_share&igshid=fqvaj9350ech,https://www.facebook.com/GRANDboxingschool/, https://sun9-3.userapi.com/c858328/v858328926/b9e8/xkmHEPXZFg4.jpg?ava=1,,GrandBoxing,,"Острякова ул., 7",
0,http://www.club-perspektiva.ru,club-perspektiva@mail.ru,8-905-743-66-33,https://vk.com/perspektivadance,https://www.instagram.com/perspektivadance/,https://www.facebook.com/perspektivadance/, https://sun9-45.userapi.com/c845120/v845120865/1b4f53/nTnGM6f02Oo.jpg?ava=1,,"Перспектива - танцы в Марьино, Люблино, Братиславская",https://ok.ru/dancemaryno,"Люблинская улица, 141",Братиславская
0,http://www.showkristy.com/,,,,,,,,,,,
0,http://smashpoint.ru,,,,,,,,,,,
0,http://premier-football.ru/,shop@premier-football.ru,+7 (905) 542-60-97,http://vk.com/premierfootball,https://www.instagram.com/premierfootballrussia/,https://www.facebook.com/PremierFootballRussia/, https://sun9-13.userapi.com/c850136/v850136422/be192/vAS-SIVGrFQ.jpg?ava=1,,ПРЕМЬЕР ФУТБОЛ — Корпоративный сайт,,"ул. Б.Каменщики, д.6",
0,http://sambo-70,,,,,,,,,,,
0,http://www.terrasport.ru/Solntsevo/Plan_s.aspx,,,,,,,,,,,
0,http://www.miit.ru/,ittsu@miit.ru,+7 916 175-22-40,https://vk.com/rutmiitvk,https://www.instagram.com/rut_miit,https://www.facebook.com/rut.miit,https://rut-miit.ru/content/1440x550_rut_banners_201812.jpg?id_wm=798108&SWidth=1200 https://sun1-92.userapi.com/DkVmMOijdiaCkN4BacpjwijXlju3mgxbs7dIbg/ocqH73cTVV0.jpg?ava=1,,РУТ (МИИТ),,"улица Образцова, 9с9",Новослободская
0,http://school-football.ru/,,,,,,,,,,,
0,http://Instagram : hc_olimp_moscow,,,,,,,,,,,
0,http://www.ice-melt.narod.ru,info@partyinfo.ru,+7 (495) 648-43-21,,,,,,Главная страница,,,
0,http://flexfit-headwear.ru/,info@flexfit-headwear.ru,+7 (926) 752 88 58,https://vk.com/flexfit,https://www.instagram.com/flexfit.russia/,https://www.facebook.com/FlexFit.Russia/,http://flexfit-headwear.ru/wp-content/uploads/2018/03/banner2.jpg https://sun9-10.userapi.com/c629418/v629418782/e6ce/AeQVdtiFquM.jpg?ava=1,,Бейсболки премиум качества FLEXFIT,,"Гамсоновский переулок, 2",Тульская
0,http://box-bouquet.ru,,,,,,,,,,,
0,http://rin-car.ru/,buh@rin-opt.ru,+7 962 900-09-50,https://vk.com/club31084264,,https://www.facebook.com/rin.car.ru/, https://sun9-19.userapi.com/c834404/v834404275/7f252/LJ9wT_uGBSc.jpg?ava=1,,"Интернет-магазин автозапчастей - . Запчасти в наличии и под заказ. Запрос по VIN. Каталоги запчастей, автоламп, АКБ.",https://ok.ru/group/50898740642013,Группа компаний РИН-КАР - запчасти и аксессуары,
0,http://chmp.com.ua/,info@chmp.com.ua,8(044) 587-50-13,http://vk.com/public36066538,,https://www.facebook.com/pages/%D0%A7%D0%9F-%D0%A7%D0%B5%D0%BC%D0%BF%D0%B8%D0%BE%D0%BD/384590818219696, ,,Новинки,,,
0,http://Клуб боевых единоборств | Wix.com gamersanek87.wix.com,,,,,,,,,,,
0,http://arttutor.ru,,,,,,,,,,,
0,http://hustle.dance,hr@youdance.ru,0081799 30 15,https://vk.com/wall-73662138_70954,https://www.instagram.com/youdance.ru/,https://www.facebook.com/youdance.ru,http://youdance.ru/wp-content/uploads/2017/08/40a6ae74015b7f31041b7dcd07272f40-1280x640.jpg ,http://youdance.ru/raspisanie/,— профессиональное обучение в Москве,,,
0,http://www.crestbook.com,,,,,,,,,,,
0,http://xbox-army.forum2x2.ru/forum,ArmyGray@Gmail.Com,,https://vk.com/club7532904,,https://www.facebook.com/pages/Forum2x2/140918885320,https://redcdn.net/frmthumb/g/a/m/game-2.ace.st.jpg https://sun9-39.userapi.com/c1936/g7532904/b_2b0f79d2.jpg?ava=1,,Поиск xbox-army.forum2x2.ru,,,
0,http://www.zebrafitness.ru,pr@zebrafitness.ru,+7 (495) 926 71 71,http://vk.com/zebrafit,,https://www.facebook.com/groups/zebrafitness/?ref=ts&fref=ts, https://sun9-61.userapi.com/c845219/v845219859/aff12/u01d4JEItFk.jpg?ava=1,http://zebrafitness.ru/schedule/,Фитнес-клуб на братиславской: тренажерное оборудование 24 часа в сутки,,улица Перерва дом 43 к. 1,Братиславская
0,http://www.epicarmor.ru,,,,,,,,,,,
0,http://www.mitht.org/sport,,,,,,,,,,,
0,http://metaintegra.center,,,,,,,,,,,
0,http://www.sportlegion.ru,,,,,,,,,,,
0,http://openvolley.ru,info@openvolley.ru,+7 968 898 00 10,https://vk.com/openvolleyball,https://www.instagram.com/openvolleyball/,https://www.facebook.com/groups/openvolley/, https://sun9-11.userapi.com/c854020/v854020487/10d787/CJn1DrxvO6Y.jpg?ava=1,http://openvolley.ru/news/raspisanie-lagerej-plyazhnogo-volejbola-iyul-avgust-2020/,Open Volleyball | Школа волейбола,,"улица Зорге, 30А",
0,http://www.rsute.ru/,,,,,,,,,,,
0,http://trampolinehouse.wix.com/prijkinabatute,8b4e078a51d04e0e9efdf470027f0ec1@sentry.wixpress.com,8 (916)654-32-42,,,,"https://static.wixstatic.com/media/9b44c6_bc7d14faa6c2442ea51469cd4eab598f.jpg/v1/fill/w_172,h_260,al_c,q_80,usm_0.66_1.00_0.01,blur_2/9b44c6_bc7d14faa6c2442ea51469cd4eab598f.jpg",,прыжки на батуте в москве,,,
